CODE,Id,lat,lon,.geo
1771,0,38.77786331,-77.11417748,"{""type"":""Polygon"",""coordinates"":[[[-77.11892643387604,38.77311438042152],[-77.10942854858675,38.773114362234345],[-77.10942854858675,38.78261229167186],[-77.11892643387604,38.78261222763899],[-77.11892643387604,38.77311438042152]]]}"
1772,0,38.7683632,-76.90517723,"{""type"":""Polygon"",""coordinates"":[[[-76.90992842501872,38.77311437031424],[-76.90992842501872,38.76361204155443],[-76.90042603577021,38.76361204272646],[-76.90042603577021,38.773114370971825],[-76.90992842501872,38.77311437031424]]]}"
1773,0,38.99636372,-76.87667688,"{""type"":""Polygon"",""coordinates"":[[[-76.87192792618866,39.00111270146401],[-76.88142582904135,39.001112690358084],[-76.88142582904135,38.99161475635859],[-76.87192792618866,38.99161476882536],[-76.87192792618866,39.00111270146401]]]}"
1774,0,38.7778633,-77.00967849,"{""type"":""Polygon"",""coordinates"":[[[-77.0144274743104,38.77311436121386],[-77.00492952226577,38.77311433340159],[-77.00492952226577,38.78261229076761],[-77.0144274743104,38.7826122383767],[-77.0144274743104,38.77311436121386]]]}"
1775,0,38.67336426,-77.32317785,"{""type"":""Polygon"",""coordinates"":[[[-77.3279290039596,38.678113237654784],[-77.3279290039596,38.66861530418599],[-77.31842669080879,38.66861530507832],[-77.31842669080879,38.67811324634179],[-77.3279290039596,38.678113237654784]]]}"
1776,0,39.06286452,-77.25667703,"{""type"":""Polygon"",""coordinates"":[[[-77.26142597067818,39.05811338850817],[-77.25192808342508,39.05811333793247],[-77.25192808342508,39.06761567598823],[-77.26142597067818,39.06761572093426],[-77.26142597067818,39.05811338850817]]]}"
1777,0,38.89531318,-77.51115583,"{""type"":""Polygon"",""coordinates"":[[[-77.51663371006873,38.89661366057495],[-77.5142302190013,38.89548550079814],[-77.50842890852641,38.8927074286598],[-77.50842890852641,38.89661360043923],[-77.51663371006873,38.89661366057495]]]}"
1778,0,39.10086274,-77.18067837,"{""type"":""Polygon"",""coordinates"":[[[-77.17592719721267,39.0961138486229],[-77.17592719721267,39.105611682990734],[-77.18542952676637,39.10561169616123],[-77.18542952676637,39.09611378770908],[-77.17592719721267,39.0961138486229]]]}"
1779,0,38.99636373,-77.05717683,"{""type"":""Polygon"",""coordinates"":[[[-77.06192573408298,39.001112691340246],[-77.06192573408298,38.99161476498334],[-77.05242790979865,38.99161482126594],[-77.05242790979865,39.00111267143813],[-77.06192573408298,39.001112691340246]]]}"
1780,0,38.65796306,-77.41587249,"{""type"":""MultiPolygon"",""coordinates"":[[[[-77.42292570939016,38.65860017895002],[-77.42095476223523,38.65911299457726],[-77.42292570939016,38.659112999705656],[-77.42292570939016,38.65860017895002]]],[[[-77.41870294802398,38.65911300951593],[-77.41683902732446,38.65668726740057],[-77.41342775990162,38.656370672701165],[-77.41342775990162,38.65911296907845],[-77.41870294802398,38.65911300951593]]]]}"
